pair_id,interp_block,record_point,t,d
0,0,resid_post_2,0.1100,0.096655
0,0,resid_post_3,0.1100,0.091941
0,0,resid_post_4,0.1100,0.077756
0,0,resid_post_5,0.1100,0.063615
0,0,resid_post_6,0.1100,0.057007
0,0,resid_post_7,0.1100,0.051670
0,0,resid_post_8,0.1100,0.050191
0,0,resid_post_9,0.1100,0.047019
0,0,resid_post_10,0.1100,0.044136
0,0,resid_post_11,0.1100,0.039284
0,0,logits,0.1200,0.024739
0,0,resid_post_1,0.1200,0.111057
0,0,resid_post_2,0.1200,0.105870
0,0,resid_post_3,0.1200,0.100516
0,0,resid_post_4,0.1200,0.085007
0,0,resid_post_5,0.1200,0.069573
0,0,resid_post_6,0.1200,0.062381
0,0,resid_post_7,0.1200,0.056603
0,0,resid_post_8,0.1200,0.055007
0,0,resid_post_9,0.1200,0.051568
0,0,resid_post_10,0.1200,0.048418
0,0,resid_post_11,0.1200,0.043181
0,0,logits,0.1300,0.027159
0,0,resid_post_1,0.1300,0.120457
0,0,resid_post_2,0.1300,0.115145
0,0,resid_post_3,0.1300,0.109104
0,0,resid_post_4,0.1300,0.092279
0,0,resid_post_5,0.1300,0.075565
0,0,resid_post_6,0.1300,0.067794
0,0,resid_post_7,0.1300,0.061586
0,0,resid_post_8,0.1300,0.059877
0,0,resid_post_9,0.1300,0.056173
0,0,resid_post_10,0.1300,0.052755
0,0,resid_post_11,0.1300,0.047143
0,0,logits,0.1400,0.029648
0,0,resid_post_1,0.1400,0.129885
0,0,resid_post_2,0.1400,0.124478
0,0,resid_post_3,0.1400,0.117699
0,0,resid_post_4,0.1400,0.099573
0,0,resid_post_5,0.1400,0.081593
0,0,resid_post_6,0.1400,0.073251
0,0,resid_post_7,0.1400,0.066622
0,0,resid_post_8,0.1400,0.064804
0,0,resid_post_9,0.1400,0.060839
0,0,resid_post_10,0.1400,0.057151
0,0,resid_post_11,0.1400,0.051176
0,0,logits,0.1500,0.032212
0,0,resid_post_1,0.1500,0.139343
0,0,resid_post_2,0.1500,0.133865
0,0,resid_post_3,0.1500,0.126296
0,0,resid_post_4,0.1500,0.106889
0,0,resid_post_5,0.1500,0.087661
0,0,resid_post_6,0.1500,0.078756
0,0,resid_post_7,0.1500,0.071718
0,0,resid_post_8,0.1500,0.069795
0,0,resid_post_9,0.1500,0.065570
0,0,resid_post_10,0.1500,0.061613
0,0,resid_post_11,0.1500,0.055283
0,0,logits,0.1600,0.034857
0,0,resid_post_1,0.1600,0.148832
0,0,resid_post_2,0.1600,0.143303
0,0,resid_post_3,0.1600,0.134891
0,0,resid_post_4,0.1600,0.114230
0,0,resid_post_5,0.1600,0.093775
0,0,resid_post_6,0.1600,0.084315
0,0,resid_post_7,0.1600,0.076881
0,0,resid_post_8,0.1600,0.074857
0,0,resid_post_9,0.1600,0.070374
0,0,resid_post_10,0.1600,0.066146
0,0,resid_post_11,0.1600,0.059473
0,0,logits,0.1700,0.037592
0,0,resid_post_1,0.1700,0.158355
0,0,resid_post_2,0.1700,0.152790
0,0,resid_post_3,0.1700,0.143480
0,0,resid_post_4,0.1700,0.121598
0,0,resid_post_5,0.1700,0.099940
0,0,resid_post_6,0.1700,0.089937
0,0,resid_post_7,0.1700,0.082119
0,0,resid_post_8,0.1700,0.079997
0,0,resid_post_9,0.1700,0.075258
0,0,resid_post_10,0.1700,0.070759
0,0,resid_post_11,0.1700,0.063753
0,0,logits,0.1800,0.040426
0,0,resid_post_1,0.1800,0.167913
0,0,resid_post_2,0.1800,0.162323
0,0,resid_post_3,0.1800,0.152061
0,0,resid_post_4,0.1800,0.129000
0,0,resid_post_5,0.1800,0.106165
0,0,resid_post_6,0.1800,0.095629
0,0,resid_post_7,0.1800,0.087441
0,0,resid_post_8,0.1800,0.085227
0,0,resid_post_9,0.1800,0.080231
