context,direction,block,basepoint,rho,d_hidden,jsd,flip
0,0,0,natural,0.0,0.0,0.0,0.0
0,0,0,natural,0.6,0.1633366197347641,4.060285573359579e-05,0.0
0,0,0,natural,1.2,0.39171573519706726,0.0011152280494570732,0.0
0,0,0,natural,1.7999999999999998,0.6578986644744873,0.020926035940647125,0.0
0,0,0,natural,2.4,0.9265149831771851,0.18517965078353882,0.0
0,0,0,natural,3.0,1.1609047651290894,0.48546600341796875,1.0
0,0,0,natural,3.5999999999999996,1.303554654121399,0.605705201625824,1.0
0,0,0,natural,4.2,1.3763052225112915,0.6378840804100037,1.0
0,0,0,natural,4.8,1.415375828742981,0.6483350992202759,1.0
0,0,0,natural,5.3999999999999995,1.4385069608688354,0.6522979736328125,1.0
0,0,0,natural,6.0,1.453460931777954,0.6538614630699158,1.0
0,1,0,natural,0.0,0.0,0.0,0.0
0,1,0,natural,0.6,0.1622149497270584,5.393443279899657e-05,0.0
0,1,0,natural,1.2,0.33006298542022705,0.0006328856688924134,0.0
0,1,0,natural,1.7999999999999998,0.5223444104194641,0.009753724560141563,0.0
0,1,0,natural,2.4,0.7522610425949097,0.14719659090042114,0.0
0,1,0,natural,3.0,0.9691431522369385,0.46832510828971863,1.0
0,1,0,natural,3.5999999999999996,1.116629719734192,0.5923421382904053,1.0
0,1,0,natural,4.2,1.2077404260635376,0.6196045875549316,1.0
0,1,0,natural,4.8,1.2675411701202393,0.6254342794418335,1.0
0,1,0,natural,5.3999999999999995,1.3089444637298584,0.6275877952575684,1.0
0,1,0,natural,6.0,1.3384307622909546,0.6289845705032349,1.0
0,2,0,natural,0.0,0.0,0.0,0.0
0,2,0,natural,0.6,0.1643427312374115,9.10633934836369e-06,0.0
0,2,0,natural,1.2,0.4330405294895172,0.00031763967126607895,0.0
0,2,0,natural,1.7999999999999998,0.9453264474868774,0.15130150318145752,0.0
0,2,0,natural,2.4,1.2704071998596191,0.5580918788909912,1.0
0,2,0,natural,3.0,1.3764375448226929,0.6082140207290649,1.0
0,2,0,natural,3.5999999999999996,1.431657075881958,0.6344068050384521,1.0
0,2,0,natural,4.2,1.467270016670227,0.643176257610321,1.0
0,2,0,natural,4.8,1.49061918258667,0.6460695862770081,1.0
0,2,0,natural,5.3999999999999995,1.506126880645752,0.6477433443069458,1.0
0,2,0,natural,6.0,1.5166783332824707,0.648613691329956,1.0
0,3,0,natural,0.0,0.0,0.0,0.0
0,3,0,natural,0.6,0.1609225571155548,5.7783458032645285e-05,0.0
0,3,0,natural,1.2,0.3601224720478058,0.0002740834897849709,0.0
0,3,0,natural,1.7999999999999998,0.6648157835006714,0.0018798107048496604,0.0
0,3,0,natural,2.4,1.019923448562622,0.042930178344249725,0.0
0,3,0,natural,3.0,1.2250518798828125,0.30896276235580444,0.0
0,3,0,natural,3.5999999999999996,1.3222090005874634,0.4992119073867798,1.0
0,3,0,natural,4.2,1.3760428428649902,0.5604968070983887,1.0
0,3,0,natural,4.8,1.4074363708496094,0.5792970061302185,1.0
0,3,0,natural,5.3999999999999995,1.4274165630340576,0.586140513420105,1.0
0,3,0,natural,6.0,1.4408848285675049,0.5894643068313599,1.0
0,4,0,natural,0.0,0.0,0.0,0.0
0,4,0,natural,0.6,0.15130342543125153,2.702961864997633e-06,0.0
0,4,0,natural,1.2,0.4286305010318756,0.00011960894335061312,0.0
0,4,0,natural,1.7999999999999998,0.8247879147529602,0.03086215630173683,0.0
0,4,0,natural,2.4,1.1401245594024658,0.48629388213157654,1.0
0,4,0,natural,3.0,1.3442153930664062,0.6605651378631592,1.0
0,4,0,natural,3.5999999999999996,1.445812702178955,0.676115870475769,1.0
0,4,0,natural,4.2,1.494008183479309,0.6782554388046265,1.0
0,4,0,natural,4.8,1.5195673704147339,0.6782278418540955,1.0
0,4,0,natural,5.3999999999999995,1.5347868204116821,0.6775286197662354,1.0
0,4,0,natural,6.0,1.5447618961334229,0.6765317916870117,1.0
0,5,0,natural,0.0,0.0,0.0,0.0
0,5,0,natural,0.6,0.15792956948280334,3.8602018321398646e-05,0.0
0,5,0,natural,1.2,0.3810313642024994,0.0012986953370273113,0.0
0,5,0,natural,1.7999999999999998,0.6925793886184692,0.07058361172676086,0.0
0,5,0,natural,2.4,0.9698787927627563,0.4566666781902313,1.0
0,5,0,natural,3.0,1.1243276596069336,0.5847123265266418,1.0
0,5,0,natural,3.5999999999999996,1.2070062160491943,0.6187207698822021,1.0
0,5,0,natural,4.2,1.2582467794418335,0.6340802907943726,1.0
0,5,0,natural,4.8,1.2941681146621704,0.6433699131011963,1.0
0,5,0,natural,5.3999999999999995,1.3212617635726929,0.649738073348999,1.0
0,5,0,natural,6.0,1.342536449432373,0.6542805433273315,1.0
0,6,0,natural,0.0,0.0,0.0,0.0
0,6,0,natural,0.6,0.18439678847789764,6.011283403495327e-06,0.0
0,6,0,natural,1.2,0.42496225237846375,0.00026170085766352713,0.0
0,6,0,natural,1.7999999999999998,0.7593992352485657,0.02060474082827568,0.0
0,6,0,natural,2.4,1.0303288698196411,0.3230578899383545,1.0
0,6,0,natural,3.0,1.17857825756073,0.560922384262085,1.0
0,6,0,natural,3.5999999999999996,1.2602585554122925,0.6155880093574524,1.0
0,6,0,natural,4.2,1.3101717233657837,0.631335973739624,1.0
0,6,0,natural,4.8,1.3427871465682983,0.63496994972229,1.0
0,6,0,natural,5.3999999999999995,1.36473548412323,0.6331515312194824,1.0
0,6,0,natural,6.0,1.3798418045043945,0.6285648345947266,1.0
0,7,0,natural,0.0,0.0,0.0,0.0
0,7,0,natural,0.6,0.15989211201667786,7.240980266942643e-06,0.0
0,7,0,natural,1.2,0.3763408362865448,9.659252827987075e-05,0.0
0,7,0,natural,1.7999999999999998,0.6917000412940979,0.004522089846432209,0.0
0,7,0,natural,2.4,1.0021182298660278,0.14092053472995758,0.0
0,7,0,natural,3.0,1.175232172012329,0.34639668464660645,1.0
0,7,0,natural,3.5999999999999996,1.2689208984375,0.4275898337364197,1.0
0,7,0,natural,4.2,1.325513482093811,0.47582632303237915,1.0
0,7,0,natural,4.8,1.3616294860839844,0.5034293532371521,1.0
0,7,0,natural,5.3999999999999995,1.385869026184082,0.5178563594818115,1.0
0,7,0,natural,6.0,1.4029895067214966,0.5252114534378052,1.0
1,0,0,natural,0.0,0.0,0.0,0.0
1,0,0,natural,0.6,0.15844188630580902,3.8755401874368545e-06,0.0
1,0,0,natural,1.2,0.41953834891319275,2.285016671521589e-05,0.0
1,0,0,natural,1.7999999999999998,0.8694577813148499,0.011551650241017342,0.0
1,0,0,natural,2.4,1.2475659847259521,0.5624761581420898,1.0
1,0,0,natural,3.0,1.3631768226623535,0.6114779114723206,1.0
1,0,0,natural,3.5999999999999996,1.4078779220581055,0.5917031764984131,1.0
1,0,0,natural,4.2,1.435351848602295,0.5830342769622803,1.0
1,0,0,natural,4.8,1.454738736152649,0.5833389759063721,1.0
1,0,0,natural,5.3999999999999995,1.4693450927734375,0.5866663455963135,1.0
1,0,0,natural,6.0,1.4809731245040894,0.5906870365142822,1.0
1,1,0,natural,0.0,0.0,0.0,0.0
1,1,0,natural,0.6,0.13182665407657623,7.070273568388075e-06,0.0
1,1,0,natural,1.2,0.2777542173862457,6.009275239193812e-05,0.0
1,1,0,natural,1.7999999999999998,0.4344639182090759,0.00039028149330988526,0.0
1,1,0,natural,2.4,0.5993573069572449,0.001956767402589321,0.0
1,1,0,natural,3.0,0.7695895433425903,0.008114445954561234,0.0
1,1,0,natural,3.5999999999999996,0.9306663870811462,0.027690239250659943,0.0
1,1,0,natural,4.2,1.0677241086959839,0.07517129182815552,0.0
1,1,0,natural,4.8,1.1742749214172363,0.15784738957881927,0.0
1,1,0,natural,5.3999999999999995,1.2517991065979004,0.25821131467819214,0.0
1,1,0,natural,6.0,1.3068076372146606,0.34817028045654297,0.0
1,2,0,natural,0.0,0.0,0.0,0.0
1,2,0,natural,0.6,0.13587404787540436,5.220770617597736e-06,0.0
1,2,0,natural,1.2,0.30370792746543884,2.3028715077089146e-05,0.0
