token_id,token,D,W_mid,W_final,t10_mid,t90_mid,t10_final,t90_final,flag_nonmonotonic
1621,' story',1.9423,0.1538,0.0835,0.3884,0.5423,0.4560,0.5395,0
1622,' season',2.0443,0.1274,0.0587,0.3626,0.4900,0.4208,0.4795,0
1623,' Col',2.2440,0.1474,0.0580,0.4057,0.5531,0.4720,0.5299,0
1624,' claim',2.1415,0.1474,0.0804,0.3720,0.5193,0.4328,0.5132,0
1625,' came',1.8686,0.1257,0.0625,0.3725,0.4982,0.4259,0.4884,0
1626,' within',2.0442,0.1876,0.1004,0.3632,0.5508,0.4450,0.5454,0
1627,' line',2.1156,0.1635,0.0805,0.3810,0.5445,0.4467,0.5272,0
1628,' project',2.0561,0.1369,0.0633,0.3703,0.5072,0.4283,0.4917,0
1629,' At',1.9092,0.2026,0.1024,0.3554,0.5580,0.4203,0.5226,1
1630,' control',2.1066,0.1462,0.0676,0.3626,0.5088,0.4289,0.4965,0
1631,'ended',2.5840,0.1732,0.0773,0.2980,0.4712,0.3647,0.4420,0
1632,' Sy',2.3366,0.1436,0.0491,0.4131,0.5567,0.4493,0.4984,0
1633,' air',2.1593,0.1581,0.0768,0.3722,0.5303,0.4329,0.5098,0
1634,'ization',2.4490,0.1625,0.0882,0.3186,0.4811,0.3714,0.4596,0
1635,' *',2.0963,0.1532,0.0788,0.4046,0.5578,0.4664,0.5452,0
1636,'ley',2.3671,0.1841,0.1441,0.3377,0.5219,0.3960,0.5400,0
1637,' money',1.8800,0.1889,0.0880,0.3691,0.5580,0.4540,0.5421,0
1638,'idd',2.6152,0.1320,0.0771,0.3835,0.5155,0.4136,0.4907,0
1639,'You',2.0040,0.1690,0.1251,0.3620,0.5309,0.4068,0.5319,0
1640,'for',2.1228,0.1779,0.0431,0.3584,0.5363,0.4043,0.4474,0
1641,' family',2.0231,0.1606,0.0904,0.3290,0.4896,0.3891,0.4795,0
1642,' making',1.8738,0.1433,0.0538,0.3536,0.4969,0.4354,0.4891,0
1643,' bit',1.8927,0.2505,0.1434,0.3732,0.6238,0.4354,0.5789,0
1644,' police',1.9754,0.1242,0.0560,0.3734,0.4976,0.4331,0.4891,0
1645,' happen',2.0857,0.1531,0.0763,0.4114,0.5645,0.4801,0.5564,0
1646,' vers',2.4576,0.1659,0.0807,0.3739,0.5397,0.4212,0.5019,0
1647,'ony',2.6825,0.2517,0.3570,0.3404,0.5922,0.4002,0.7572,0
1648,'uff',2.5759,0.1500,0.0934,0.3920,0.5420,0.4359,0.5292,0
1649,' When',1.8841,0.1922,0.0631,0.3719,0.5641,0.4350,0.4981,0
1650,' sit',2.1502,0.1416,0.0621,0.3970,0.5387,0.4538,0.5160,0
1651,'ideo',2.8409,0.2614,0.1558,0.3553,0.6167,0.3791,0.5349,0
1652,'lf',2.6629,0.1845,0.0897,0.3672,0.5517,0.4244,0.5141,0
1653,'ison',2.6198,0.1778,0.1150,0.3392,0.5170,0.3950,0.5100,1
1654,' sure',2.0335,0.1887,0.1025,0.3811,0.5698,0.4578,0.5602,0
1655,'gin',2.8096,0.1571,0.0867,0.3546,0.5117,0.3976,0.4843,0
1656,' appear',2.0584,0.1767,0.1191,0.4091,0.5858,0.4471,0.5662,0
1657,' light',2.0823,0.1963,0.1625,0.3177,0.5139,0.3329,0.4954,0
1658,' es',2.3845,0.1470,0.0489,0.3978,0.5448,0.4501,0.4990,0
1659,'of',2.2254,0.1313,0.0609,0.3832,0.5145,0.4369,0.4978,0
1660,' water',1.9984,0.1679,0.0881,0.3934,0.5613,0.4635,0.5516,0
1661,' times',2.0945,0.1447,0.0715,0.3706,0.5153,0.4281,0.4996,0
1662,'not',2.1763,0.1745,0.0507,0.3561,0.5307,0.4029,0.4536,0
1663,' grow',2.1345,0.2019,0.1212,0.3640,0.5658,0.4249,0.5461,0
1664,' company',1.9796,0.1526,0.0848,0.3678,0.5203,0.4317,0.5166,0
1665,' Te',2.2434,0.1328,0.0369,0.4130,0.5458,0.4649,0.5018,0
1666,'ows',2.7224,0.1341,0.0778,0.3190,0.4531,0.3787,0.4565,0
1667,' mar',2.2980,0.1594,0.0635,0.3538,0.5132,0.4138,0.4773,0
1668,'ource',2.8434,0.1574,0.1277,0.3481,0.5055,0.3714,0.4990,0
1669,'iol',2.8315,0.1737,0.0828,0.3214,0.4951,0.3596,0.4424,0
1670,'arm',2.5918,0.1294,0.0594,0.3557,0.4851,0.4081,0.4675,0
1671,'br',2.4931,0.1630,0.0612,0.3787,0.5417,0.4359,0.4971,0
1672,' example',2.0879,0.2023,0.1072,0.3768,0.5790,0.4420,0.5492,1
1673,' conc',2.4052,0.1870,0.0726,0.3886,0.5756,0.4372,0.5097,0
1674,' fore',2.4005,0.1825,0.0783,0.3839,0.5664,0.4412,0.5195,0
1675,' To',1.8845,0.1669,0.0540,0.3756,0.5425,0.4349,0.4889,0
1676,'pro',2.3244,0.1487,0.0889,0.4074,0.5561,0.4256,0.5145,0
1677,'EN',2.4306,0.1403,0.0541,0.3628,0.5032,0.4214,0.4755,1
1678,'ries',2.6652,0.1619,0.0910,0.3235,0.4853,0.3849,0.4760,0
1679,' 25',1.8723,0.1919,0.0825,0.3352,0.5272,0.4257,0.5082,0
1680,' Can',2.0679,0.1174,0.0512,0.4137,0.5310,0.4597,0.5110,0
1681,'ney',2.7176,0.1539,0.1418,0.3453,0.4992,0.4189,0.5607,0
1682,' actually',2.0319,0.2796,0.1516,0.3484,0.6280,0.4339,0.5855,0
1683,' ever',2.1118,0.1556,0.0758,0.4201,0.5758,0.4835,0.5593,0
1684,'urity',2.7770,0.1812,0.1175,0.3187,0.4999,0.3851,0.5026,0
1685,'aken',2.7099,0.1496,0.0803,0.3438,0.4934,0.4095,0.4898,0
1686,'aps',2.6181,0.1264,0.0921,0.3267,0.4531,0.3790,0.4711,0
1687,' tax',2.0557,0.1345,0.0489,0.3983,0.5328,0.4701,0.5190,0
1688,' major',1.5235,0.3820,0.2834,0.3767,0.7588,0.4465,0.7299,0
1689,'ama',2.6174,0.1474,0.0931,0.3513,0.4987,0.3940,0.4870,0
1690,' often',1.9884,0.2003,0.1365,0.3588,0.5591,0.4306,0.5671,0
1691,'eral',2.7842,0.1946,0.1045,0.3554,0.5500,0.3971,0.5016,0
1692,' human',2.0637,0.2241,0.1187,0.3733,0.5974,0.4298,0.5485,0
1693,' job',2.0038,0.1661,0.0787,0.3767,0.5428,0.4561,0.5348,0
1694,'ister',2.7024,0.1761,0.1279,0.3317,0.5078,0.3781,0.5060,0
1695,' available',2.0815,0.1756,0.1057,0.3591,0.5348,0.4342,0.5399,0
1696,'ocr',2.8610,0.2219,0.0893,0.3614,0.5833,0.4373,0.5266,0
1697,'enn',2.6683,0.1261,0.0642,0.3657,0.4918,0.4043,0.4685,0
1698,'aid',2.7403,0.1870,0.1545,0.3299,0.5169,0.3916,0.5460,1
1699,'ivid',2.7767,0.1948,0.1172,0.3126,0.5074,0.3416,0.4588,0
1700,' record',2.1681,0.1356,0.0695,0.3689,0.5045,0.4245,0.4940,0
1701,"'?""'",1.9838,0.1047,0.0442,0.3667,0.4714,0.4352,0.4794,0
1702,' sing',2.3922,0.1299,0.0623,0.4085,0.5384,0.4474,0.5097,0
1703,' Am',2.1687,0.1756,0.0633,0.3590,0.5346,0.4306,0.4939,0
1704,'idence',2.7013,0.1813,0.1576,0.3018,0.4831,0.3568,0.5143,1
1705,' news',2.0011,0.1431,0.0733,0.4067,0.5498,0.4675,0.5408,0
1706,'ster',2.5695,0.1548,0.0917,0.3852,0.5400,0.4423,0.5340,0
1707,' econom',2.7111,0.2219,0.1139,0.3353,0.5572,0.3613,0.4752,0
1708,' following',2.0862,0.1499,0.1227,0.3801,0.5300,0.4533,0.5760,0
1709,' Br',2.2067,0.1856,0.0504,0.3923,0.5779,0.4605,0.5109,0
1710,'ising',2.5113,0.1615,0.1049,0.3181,0.4796,0.3611,0.4660,0
1711,' hour',2.2027,0.1968,0.1199,0.3373,0.5340,0.3972,0.5170,0
1712,'most',2.3403,0.1609,0.1171,0.3947,0.5556,0.4157,0.5328,0
1713,'ument',2.9899,0.1948,0.1330,0.3233,0.5181,0.3704,0.5034,0
1714,' sex',2.1286,0.1412,0.0671,0.3876,0.5288,0.4510,0.5181,0
1715,' desc',2.4775,0.2383,0.0873,0.3744,0.6126,0.3989,0.4862,0
1716,' become',1.9781,0.1850,0.1059,0.3690,0.5540,0.4476,0.5535,0
1717,' Ed',2.2122,0.1682,0.0678,0.3646,0.5328,0.4400,0.5078,0
1718,' took',1.8760,0.1409,0.0615,0.3479,0.4888,0.4104,0.4719,0
1719,' having',1.9224,0.1690,0.0651,0.3395,0.5086,0.4129,0.4779,0
1720,' product',2.0713,0.1532,0.0832,0.4067,0.5599,0.4748,0.5580,0
1721,'ault',2.8306,0.2001,0.1011,0.3155,0.5156,0.3665,0.4675,0
1722,'As',2.0219,0.1436,0.0452,0.3858,0.5294,0.4447,0.4899,0
1723,'aring',2.4730,0.1638,0.1160,0.3550,0.5188,0.4188,0.5348,0
1724,' means',2.1220,0.2375,0.0626,0.3826,0.6201,0.4373,0.4999,1
1725,' hop',2.3443,0.1954,0.0903,0.3840,0.5794,0.4285,0.5188,0
1726,'une',2.7143,0.1422,0.1493,0.3457,0.4879,0.3851,0.5344,0
1727,' cho',2.5482,0.2419,0.0727,0.3744,0.6163,0.4246,0.4973,0
1728,' certain',2.0340,0.1992,0.1362,0.3674,0.5666,0.4189,0.5551,0
1729,' non',1.9256,0.1772,0.0881,0.4009,0.5781,0.4765,0.5646,0
1730,' deal',2.0376,0.1611,0.0870,0.3768,0.5379,0.4331,0.5201,0
1731,'24',2.1734,0.1816,0.0835,0.3245,0.5061,0.3931,0.4767,0
1732,'lement',2.9597,0.2019,0.2903,0.2989,0.5008,0.3646,0.6549,0
1733,'oci',2.7433,0.1376,0.0761,0.3668,0.5044,0.4159,0.4920,0
1734,'ene',2.6220,0.1403,0.0872,0.3491,0.4894,0.3928,0.4800,0
1735,' side',2.0848,0.1655,0.0594,0.3824,0.5479,0.4687,0.5281,0
