condition,src,plateau_auc_low,dist_to_source,l0,ref_at_dist,residual
naive,104,0.05947,60.846,25,0.1245,-0.06504
naive,105,0.08266,75.372,35,0.10889,-0.02623
naive,106,0.04438,71.69,51,0.11254,-0.06816
naive,107,0.04707,55.557,34,0.13044,-0.08338
naive,108,0.05605,67.904,74,0.1165,-0.06045
naive,109,0.10515,85.325,94,0.09985,0.00531
naive,110,0.12573,69.336,92,0.11498,0.01075
naive,111,0.10184,53.007,25,0.13345,-0.03161
naive,112,0.04375,73.4,63,0.11083,-0.06708
naive,113,0.06417,58.617,36,0.12701,-0.06285
naive,114,0.04398,45.889,36,0.14267,-0.09869
naive,115,0.07066,63.834,39,0.12101,-0.05034
naive,116,0.09306,51.906,17,0.13479,-0.04173
naive,117,0.16564,75.071,71,0.10919,0.05645
naive,118,0.05099,46.658,41,0.1416,-0.09062
naive,119,0.11344,77.694,37,0.10668,0.00676
naive,120,0.0719,60.751,14,0.12462,-0.05271
naive,121,0.15713,73.474,44,0.11075,0.04637
naive,122,0.03737,75.909,45,0.10838,-0.071
naive,123,0.06423,62.629,43,0.1224,-0.05817
naive,124,0.04172,64.693,92,0.12003,-0.07831
naive,125,0.07256,64.254,23,0.12053,-0.04797
naive,126,0.03624,48.001,44,0.13979,-0.10354
naive,127,0.05657,58.411,12,0.12724,-0.07067
naive,128,0.07917,76.384,21,0.10792,-0.02875
naive,129,0.07674,65.927,108,0.11866,-0.04191
naive,130,0.09082,62.943,16,0.12203,-0.03121
naive,131,0.10105,70.047,36,0.11424,-0.01319
naive,132,0.17957,169.6,691,0.07499,0.10459
naive,133,0.06525,71.824,18,0.11241,-0.04716
naive,134,0.05665,49.803,39,0.13743,-0.08078
naive,135,0.07681,55.474,7,0.13054,-0.05373
naive,136,0.07285,56.76,43,0.12907,-0.05622
naive,137,0.10227,65.143,30,0.11953,-0.01725
naive,138,0.09319,82.724,85,0.10211,-0.00892
naive,139,0.14148,75.444,34,0.10882,0.03265
naive,140,0.07054,55.153,17,0.13091,-0.06037
naive,141,0.10846,49.466,37,0.13787,-0.02941
naive,142,0.0821,69.721,37,0.11458,-0.03247
naive,143,0.10403,56.193,36,0.12971,-0.02568
naive,144,0.0522,71.669,47,0.11257,-0.06036
naive,145,0.05958,77.113,19,0.10723,-0.04765
naive,146,0.05246,67.993,4,0.11641,-0.06395
naive,147,0.03252,81.684,134,0.10303,-0.07051
naive,148,0.12245,68.155,84,0.11623,0.00621
naive,149,0.04624,54.495,35,0.13168,-0.08543
naive,150,0.05798,49.914,32,0.13729,-0.07931
naive,151,0.06179,83.125,167,0.10175,-0.03996
naive,152,0.05145,68.619,21,0.11574,-0.06429
naive,153,0.09688,48.768,30,0.13878,-0.04189
naive,154,0.06301,63.765,28,0.12109,-0.05808
naive,155,0.11699,42.046,36,0.14826,-0.03127
naive,156,0.12046,76.858,11,0.10747,0.01299
naive,157,0.06817,66.288,14,0.11826,-0.05009
naive,158,0.07853,41.808,13,0.14862,-0.07009
naive,159,0.07127,65.645,18,0.11897,-0.0477
naive,160,0.07232,63.274,37,0.12165,-0.04933
naive,161,0.13273,51.618,24,0.13514,-0.00241
naive,162,0.04426,56.64,18,0.12921,-0.08495
naive,163,0.05525,65.245,16,0.11941,-0.06416
naive,164,0.08019,64.695,25,0.12003,-0.03984
naive,165,0.06887,56.357,37,0.12953,-0.06065
naive,166,0.05346,70.228,43,0.11405,-0.06058
naive,167,0.07524,59.994,4,0.12553,-0.05029
naive,168,0.07656,58.656,84,0.12697,-0.05041
naive,169,0.06455,52.862,59,0.13362,-0.06907
