condition,src,split,plateau_auc_low,dist_to_source,norm,output_kl,log10_output_kl
recon,102,test,0.14797,17.378,69.432,0.045225,-1.3446
recon,103,test,0.09381,46.455,61.514,1.649014,0.2172
recon,104,test,0.12352,32.233,66.892,0.080962,-1.0917
recon,105,test,0.15819,24.863,74.042,0.013832,-1.8591
recon,106,test,0.18349,28.071,57.357,0.031849,-1.4969
recon,107,test,0.10858,32.879,61.533,0.25251,-0.5977
recon,108,test,0.09076,17.757,66.603,0.15563,-0.8079
recon,109,test,0.12867,45.206,55.256,0.216706,-0.6641
recon,110,test,0.15381,29.531,65.62,0.063654,-1.1962
recon,111,test,0.15028,29.893,59.525,1.912337,0.2816
recon,112,test,0.1648,17.301,74.506,0.099683,-1.0014
recon,113,test,0.15755,23.312,82.876,0.041368,-1.3833
recon,114,test,0.0735,31.263,54.082,0.367434,-0.4348
recon,115,test,0.21381,20.906,72.455,0.025614,-1.5915
recon,116,test,0.55662,18.12,68.518,0.019611,-1.7075
recon,117,test,0.17356,19.309,81.074,0.041431,-1.3827
recon,118,test,0.15567,24.805,54.638,0.085061,-1.0703
recon,119,test,0.57535,41.107,65.587,0.008987,-2.0464
recon,120,test,0.17014,21.941,83.98,0.023671,-1.6258
recon,121,test,0.24047,25.543,91.208,0.036085,-1.4427
recon,122,test,0.15844,21.966,66.423,0.061886,-1.2084
recon,123,test,0.11497,33.453,59.667,0.422138,-0.3745
recon,124,test,0.17772,18.02,73.648,0.026048,-1.5842
recon,125,test,0.11929,34.009,65.265,0.281317,-0.5508
recon,126,test,0.17288,14.105,66.41,0.015251,-1.8167
recon,127,test,0.22741,36.726,110.491,0.036653,-1.4359
recon,128,test,0.2386,71.809,160.013,0.011486,-1.9398
recon,129,test,0.12215,41.417,58.071,1.239913,0.0934
recon,130,test,0.30518,39.122,70.686,0.017285,-1.7623
recon,131,test,0.09948,32.044,65.405,0.377245,-0.4234
recon,132,test,0.13046,31.61,71.727,0.05765,-1.2392
recon,133,test,0.188,32.695,66.712,0.073121,-1.136
recon,134,test,0.3253,21.852,79.577,0.005598,-2.2519
recon,135,test,0.38399,23.224,64.241,0.005723,-2.2424
recon,136,test,0.25929,20.026,77.361,0.048041,-1.3184
recon,137,test,0.09957,30.085,66.528,0.475864,-0.3225
recon,138,test,0.15308,52.507,54.984,0.731243,-0.1359
recon,139,test,0.14604,30.123,70.244,0.083972,-1.0759
recon,140,test,0.15259,19.171,67.882,0.024302,-1.6144
recon,141,test,0.10469,22.381,58.88,0.075024,-1.1248
recon,142,test,0.10465,24.166,58.804,0.138067,-0.8599
recon,143,test,0.17995,24.221,63.837,0.013834,-1.859
recon,144,test,0.08607,44.915,64.832,0.399465,-0.3985
recon,145,test,0.21625,27.224,103.63,0.028621,-1.5433
recon,146,test,0.11425,36.457,70.004,0.082128,-1.0855
recon,147,test,0.16253,30.347,69.597,0.033881,-1.47
recon,148,test,0.13175,26.67,68.222,0.074795,-1.1261
recon,149,test,0.50735,16.631,60.642,0.006248,-2.2042
recon,150,test,0.23507,15.436,68.839,0.013478,-1.8704
recon,151,test,0.14439,34.652,66.707,0.047918,-1.3195
recon,152,test,0.11861,28.954,64.929,0.146713,-0.8335
recon,153,test,0.12151,105.916,154.152,0.751573,-0.124
recon,154,test,0.09888,44.433,57.272,0.442455,-0.3541
recon,155,test,0.36746,15.005,68.848,0.014623,-1.835
recon,156,test,0.13377,23.493,72.117,0.082439,-1.0839
recon,157,test,0.10941,19.628,83.22,0.065088,-1.1865
recon,158,test,0.0914,18.048,55.962,0.638248,-0.195
recon,159,test,0.13378,30.274,99.821,0.093012,-1.0315
recon,160,test,0.21957,20.145,66.197,0.050846,-1.2937
recon,161,test,0.18832,19.402,64.706,0.029995,-1.5229
recon,162,test,0.25487,20.844,72.247,0.019146,-1.7179
recon,163,test,0.13723,26.339,79.965,0.049496,-1.3054
recon,164,test,0.08679,33.374,68.688,0.141818,-0.8483
recon,165,test,0.16895,25.743,88.155,0.022474,-1.6483
recon,166,test,0.56504,27.724,71.681,0.002884,-2.54
recon,167,test,0.32925,20.241,77.115,0.003462,-2.4607
recon,168,test,0.15252,24.007,67.953,0.025799,-1.5884
recon,169,test,0.21832,20.301,68.741,0.044287,-1.3537
recon,170,test,0.19027,21.103,78.106,0.030253,-1.5192
recon,171,test,0.13854,22.509,71.83,0.034395,-1.4635
recon,172,test,0.22992,18.446,58.198,0.019734,-1.7048
recon,173,test,0.09186,35.558,73.208,0.266336,-0.5746
recon,174,test,0.25297,18.948,77.915,0.019498,-1.71
recon,175,test,0.15676,21.01,80.757,0.045743,-1.3397
recon,176,test,0.21402,24.201,60.499,0.019266,-1.7152
recon,177,test,0.07904,33.485,69.971,0.136722,-0.8642
recon,178,test,0.10905,30.617,54.257,0.380787,-0.4193
recon,179,test,0.18181,14.485,62.27,0.023458,-1.6297
recon,180,test,0.22927,29.831,66.156,0.035,-1.4559
recon,181,test,0.2093,22.577,62.437,0.199984,-0.699
recon,182,test,0.24073,20.928,88.939,0.012922,-1.8887
recon,183,test,0.17794,28.776,61.938,0.024116,-1.6177
recon,184,test,0.2278,16.998,61.879,0.051409,-1.289
recon,185,test,0.08387,39.24,58.901,1.081071,0.0339
recon,186,test,0.1556,32.418,63.034,0.086438,-1.0633
recon,187,test,0.16769,19.033,65.219,0.065385,-1.1845
recon,188,test,0.24622,20.696,87.11,0.004605,-2.3368
recon,189,test,0.31552,28.521,65.812,0.012461,-1.9045
recon,190,test,0.1531,21.642,74.732,0.051562,-1.2877
recon,191,test,0.14918,34.468,70.286,0.141446,-0.8494
recon,192,test,0.15089,28.293,71.875,0.114899,-0.9397
recon,193,test,0.14384,34.733,67.499,0.179516,-0.7459
recon,194,test,0.13986,20.347,97.233,0.014577,-1.8363
recon,195,test,0.07871,46.219,60.194,2.707852,0.4326
recon,196,test,0.24336,26.096,67.944,0.043459,-1.3619
recon,197,test,0.13749,20.938,88.839,0.10645,-0.9729
recon,198,test,0.21582,20.757,69.408,0.04024,-1.3953
recon,199,test,0.14473,25.278,54.907,0.032873,-1.4832
naive,0,train,0.03517,77.934,81.748,2.46151,0.3912
naive,1,train,0.07652,50.204,56.243,7.419171,0.8704
naive,2,train,0.07085,65.523,60.423,1.315087,0.119
naive,3,train,0.11841,72.714,72.285,3.312119,0.5201
naive,4,train,0.10935,97.638,87.766,7.024099,0.8466
naive,5,train,0.05862,63.056,53.58,3.487366,0.5425
naive,6,train,0.18908,51.396,58.771,7.060484,0.8488
naive,7,train,0.07363,68.091,54.813,3.113825,0.4933
naive,8,train,0.08762,49.52,59.061,4.884025,0.6888
naive,9,train,0.09502,79.068,72.963,0.575233,-0.2402
naive,10,train,0.04112,68.619,79.244,2.834965,0.4525
naive,11,train,0.11895,70.716,55.194,1.259222,0.1001
naive,12,train,0.07788,60.522,65.529,5.163464,0.7129
naive,13,train,0.07168,59.314,57.168,3.01072,0.4787
