[verify] step0 checkpoint == fresh seed-0 init == const-run step0 (bit-exact, all tensors) -> untrained confirmed
step 20400: loss=0.000005 tr_acc=1.0000 te_acc=0.9800 lr=2.33e-04
step 20700: loss=0.000004 tr_acc=1.0000 te_acc=0.9790 lr=2.20e-04
step 21000: loss=0.000004 tr_acc=1.0000 te_acc=0.9800 lr=2.07e-04
step 21300: loss=0.000007 tr_acc=1.0000 te_acc=0.9780 lr=1.94e-04
step 21600: loss=0.000003 tr_acc=1.0000 te_acc=0.9795 lr=1.82e-04
step 21900: loss=0.000003 tr_acc=1.0000 te_acc=0.9790 lr=1.70e-04
step 22200: loss=0.000003 tr_acc=1.0000 te_acc=0.9780 lr=1.59e-04
step 22500: loss=0.000002 tr_acc=1.0000 te_acc=0.9790 lr=1.47e-04
step 22800: loss=0.000002 tr_acc=1.0000 te_acc=0.9790 lr=1.36e-04
step 23100: loss=0.000002 tr_acc=1.0000 te_acc=0.9785 lr=1.26e-04
step 23400: loss=0.000001 tr_acc=1.0000 te_acc=0.9790 lr=1.16e-04
step 23700: loss=0.000001 tr_acc=1.0000 te_acc=0.9790 lr=1.06e-04
step 24000: loss=0.000001 tr_acc=1.0000 te_acc=0.9800 lr=9.64e-05
step 24300: loss=0.000001 tr_acc=1.0000 te_acc=0.9785 lr=8.74e-05
step 24600: loss=0.000001 tr_acc=1.0000 te_acc=0.9795 lr=7.88e-05
step 24900: loss=0.000001 tr_acc=1.0000 te_acc=0.9785 lr=7.06e-05
step 25200: loss=0.000001 tr_acc=1.0000 te_acc=0.9790 lr=6.28e-05
step 25500: loss=0.000001 tr_acc=1.0000 te_acc=0.9790 lr=5.54e-05
step 25800: loss=0.000000 tr_acc=1.0000 te_acc=0.9790 lr=4.85e-05
step 26100: loss=0.000000 tr_acc=1.0000 te_acc=0.9790 lr=4.21e-05
step 26400: loss=0.000000 tr_acc=1.0000 te_acc=0.9790 lr=3.61e-05
step 26700: loss=0.000000 tr_acc=1.0000 te_acc=0.9790 lr=3.05e-05
step 27000: loss=0.000000 tr_acc=1.0000 te_acc=0.9790 lr=2.54e-05
step 27300: loss=0.000000 tr_acc=1.0000 te_acc=0.9790 lr=2.08e-05
step 27600: loss=0.000000 tr_acc=1.0000 te_acc=0.9790 lr=1.67e-05
step 27900: loss=0.000000 tr_acc=1.0000 te_acc=0.9790 lr=1.30e-05
step 28200: loss=0.000000 tr_acc=1.0000 te_acc=0.9790 lr=9.85e-06
step 28500: loss=0.000000 tr_acc=1.0000 te_acc=0.9790 lr=7.15e-06
step 28800: loss=0.000000 tr_acc=1.0000 te_acc=0.9790 lr=4.94e-06
step 29100: loss=0.000000 tr_acc=1.0000 te_acc=0.9790 lr=3.22e-06
step 29400: loss=0.000000 tr_acc=1.0000 te_acc=0.9790 lr=1.99e-06
step 29700: loss=0.000000 tr_acc=1.0000 te_acc=0.9790 lr=1.25e-06
step 30000: loss=0.000000 tr_acc=1.0000 te_acc=0.9790 lr=1.00e-06
done: 104 checkpoints in 52s -> /workspace/marsv_agent_haoyang/dir12_plateau_during_training/results/full_mnist_from_scratch/seed_0
/workspace/marsv_agent_haoyang/dir12_plateau_during_training/results/full_mnist_from_scratch/seed_0: 104/104 records OK, 0 problems
[verify] manifest complete
