[verify] step0 checkpoint == fresh seed-0 init == const-run step0 (bit-exact, all tensors) -> untrained confirmed
step 20400: loss=0.000030 tr_acc=0.9999 te_acc=0.9775 lr=7.81e-06
step 20700: loss=0.000029 tr_acc=0.9999 te_acc=0.9775 lr=7.81e-06
step 21000: loss=0.000029 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 21300: loss=0.000029 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 21600: loss=0.000029 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 21900: loss=0.000029 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 22200: loss=0.000029 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 22500: loss=0.000029 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 22800: loss=0.000029 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 23100: loss=0.000029 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 23400: loss=0.000028 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 23700: loss=0.000028 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 24000: loss=0.000028 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 24300: loss=0.000028 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 24600: loss=0.000028 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 24900: loss=0.000028 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 25200: loss=0.000028 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 25500: loss=0.000028 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 25800: loss=0.000028 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 26100: loss=0.000028 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 26400: loss=0.000027 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 26700: loss=0.000027 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 27000: loss=0.000027 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 27300: loss=0.000027 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 27600: loss=0.000027 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 27900: loss=0.000027 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 28200: loss=0.000027 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 28500: loss=0.000027 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 28800: loss=0.000026 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 29100: loss=0.000026 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 29400: loss=0.000026 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 29700: loss=0.000026 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
step 30000: loss=0.000026 tr_acc=0.9999 te_acc=0.9775 lr=3.91e-06
done: 104 checkpoints in 2003s -> /workspace/marsv_agent_haoyang/dir12_plateau_during_training/results/full_mnist_from_scratch/seed_0_pl_f0.5_p100
/workspace/marsv_agent_haoyang/dir12_plateau_during_training/results/full_mnist_from_scratch/seed_0_pl_f0.5_p100: 104/104 records OK, 0 problems
[verify] manifest complete
