[verify] step0 checkpoint == fresh seed-0 init == const-run step0 (bit-exact, all tensors) -> untrained confirmed
step 20400: loss=0.000208 tr_acc=1.0000 te_acc=0.9735 lr=1.95e-06
step 20700: loss=0.000206 tr_acc=1.0000 te_acc=0.9735 lr=1.95e-06
step 21000: loss=0.000205 tr_acc=1.0000 te_acc=0.9735 lr=1.95e-06
step 21300: loss=0.000203 tr_acc=1.0000 te_acc=0.9735 lr=1.95e-06
step 21600: loss=0.000201 tr_acc=1.0000 te_acc=0.9735 lr=1.95e-06
step 21900: loss=0.000200 tr_acc=1.0000 te_acc=0.9735 lr=1.95e-06
step 22200: loss=0.000198 tr_acc=1.0000 te_acc=0.9735 lr=1.95e-06
step 22500: loss=0.000196 tr_acc=1.0000 te_acc=0.9735 lr=1.95e-06
step 22800: loss=0.000194 tr_acc=1.0000 te_acc=0.9735 lr=1.95e-06
step 23100: loss=0.000193 tr_acc=1.0000 te_acc=0.9735 lr=1.95e-06
step 23400: loss=0.000191 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 23700: loss=0.000190 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 24000: loss=0.000190 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 24300: loss=0.000189 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 24600: loss=0.000188 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 24900: loss=0.000187 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 25200: loss=0.000186 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 25500: loss=0.000185 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 25800: loss=0.000185 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 26100: loss=0.000184 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 26400: loss=0.000183 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 26700: loss=0.000182 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 27000: loss=0.000181 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
step 27300: loss=0.000180 tr_acc=1.0000 te_acc=0.9735 lr=9.77e-07
