step 0: loss=0.10233 tr_acc=0.100 te_acc=0.097 te_conf=0.095
step 10: loss=0.06495 tr_acc=0.722 te_acc=0.654 te_conf=0.263
step 30: loss=0.02890 tr_acc=0.909 te_acc=0.833 te_conf=0.636
step 100: loss=0.00471 tr_acc=0.996 te_acc=0.890 te_conf=0.782
step 300: loss=0.00014 tr_acc=1.000 te_acc=0.891 te_conf=0.826
step 2000: loss=0.00001 tr_acc=1.000 te_acc=0.898 te_conf=0.825
step 4000: loss=0.00004 tr_acc=1.000 te_acc=0.898 te_conf=0.832
step 6000: loss=0.00001 tr_acc=1.000 te_acc=0.897 te_conf=0.835
step 8000: loss=0.00001 tr_acc=1.000 te_acc=0.898 te_conf=0.834
step 10000: loss=0.00000 tr_acc=1.000 te_acc=0.895 te_conf=0.869
step 12000: loss=0.00000 tr_acc=1.000 te_acc=0.895 te_conf=0.862
step 14000: loss=0.00000 tr_acc=1.000 te_acc=0.889 te_conf=0.853
step 16000: loss=0.00000 tr_acc=1.000 te_acc=0.881 te_conf=0.899
step 18000: loss=0.00000 tr_acc=1.000 te_acc=0.878 te_conf=0.892
step 20000: loss=0.00000 tr_acc=1.000 te_acc=0.871 te_conf=0.867
step 22000: loss=0.00000 tr_acc=1.000 te_acc=0.870 te_conf=0.844
step 24000: loss=0.00000 tr_acc=1.000 te_acc=0.878 te_conf=0.917
step 26000: loss=0.00000 tr_acc=1.000 te_acc=0.874 te_conf=0.899
step 28000: loss=0.00000 tr_acc=1.000 te_acc=0.874 te_conf=0.876
step 30000: loss=0.00000 tr_acc=1.000 te_acc=0.876 te_conf=0.909
step 32000: loss=0.00000 tr_acc=1.000 te_acc=0.879 te_conf=0.894
step 34000: loss=0.00000 tr_acc=1.000 te_acc=0.872 te_conf=0.872
step 36000: loss=0.00000 tr_acc=1.000 te_acc=0.875 te_conf=0.858
step 38000: loss=0.00000 tr_acc=1.000 te_acc=0.863 te_conf=0.915
step 40000: loss=0.00000 tr_acc=1.000 te_acc=0.863 te_conf=0.892
step 42000: loss=0.00000 tr_acc=1.000 te_acc=0.873 te_conf=0.882
step 44000: loss=0.00000 tr_acc=1.000 te_acc=0.870 te_conf=0.917
step 46000: loss=0.00000 tr_acc=1.000 te_acc=0.864 te_conf=0.904
step 48000: loss=0.00000 tr_acc=1.000 te_acc=0.863 te_conf=0.883
step 50000: loss=0.00000 tr_acc=1.000 te_acc=0.873 te_conf=0.918
step 52000: loss=0.00000 tr_acc=1.000 te_acc=0.872 te_conf=0.908
step 54000: loss=0.00000 tr_acc=1.000 te_acc=0.860 te_conf=0.893
step 56000: loss=0.00005 tr_acc=1.000 te_acc=0.862 te_conf=0.904
step 58000: loss=0.00000 tr_acc=1.000 te_acc=0.878 te_conf=0.905
step 60000: loss=0.00000 tr_acc=1.000 te_acc=0.872 te_conf=0.885
step 62000: loss=0.00000 tr_acc=1.000 te_acc=0.863 te_conf=0.869
step 64000: loss=0.00000 tr_acc=1.000 te_acc=0.880 te_conf=0.910
step 66000: loss=0.00000 tr_acc=1.000 te_acc=0.877 te_conf=0.899
step 68000: loss=0.00000 tr_acc=1.000 te_acc=0.870 te_conf=0.881
step 70000: loss=0.00000 tr_acc=1.000 te_acc=0.871 te_conf=0.911
step 72000: loss=0.00000 tr_acc=1.000 te_acc=0.870 te_conf=0.905
step 74000: loss=0.00000 tr_acc=1.000 te_acc=0.865 te_conf=0.885
step 76000: loss=0.00000 tr_acc=1.000 te_acc=0.870 te_conf=0.911
step 78000: loss=0.00000 tr_acc=1.000 te_acc=0.867 te_conf=0.900
step 80000: loss=0.00000 tr_acc=1.000 te_acc=0.857 te_conf=0.876
step 82000: loss=0.00000 tr_acc=1.000 te_acc=0.869 te_conf=0.918
step 84000: loss=0.00000 tr_acc=1.000 te_acc=0.869 te_conf=0.913
step 86000: loss=0.00000 tr_acc=1.000 te_acc=0.864 te_conf=0.893
step 88000: loss=0.00000 tr_acc=1.000 te_acc=0.863 te_conf=0.877
step 90000: loss=0.00000 tr_acc=1.000 te_acc=0.870 te_conf=0.913
step 92000: loss=0.00000 tr_acc=1.000 te_acc=0.870 te_conf=0.905
step 94000: loss=0.00000 tr_acc=1.000 te_acc=0.874 te_conf=0.918
step 96000: loss=0.00000 tr_acc=1.000 te_acc=0.875 te_conf=0.913
step 98000: loss=0.00000 tr_acc=1.000 te_acc=0.873 te_conf=0.897
step 100000: loss=0.00000 tr_acc=1.000 te_acc=0.870 te_conf=0.876
done: 55 checkpoints in 118s -> /workspace/marsv_agent_haoyang/dir12_plateau_during_training/results/plateau_records/seed_1
